OBJECTID,x,y
404,111.5,34.5
405,112.5,34.5
406,113.5,34.5
407,114.5,34.5
408,115.5,34.5
409,116.5,34.5
410,117.5,34.5
411,118.5,34.5
412,119.5,34.5
413,77.5,35.5
414,78.5,35.5
415,79.5,35.5
416,80.5,35.5
417,81.5,35.5
418,82.5,35.5
419,83.5,35.5
420,84.5,35.5
421,85.5,35.5
422,86.5,35.5
423,87.5,35.5
424,88.5,35.5
425,89.5,35.5
426,90.5,35.5
427,91.5,35.5
428,92.5,35.5
429,93.5,35.5
430,94.5,35.5
431,95.5,35.5
432,96.5,35.5
433,97.5,35.5
434,98.5,35.5
435,99.5,35.5
436,100.5,35.5
437,101.5,35.5
438,102.5,35.5
439,103.5,35.5
440,104.5,35.5
441,105.5,35.5
442,106.5,35.5
443,107.5,35.5
444,108.5,35.5
445,109.5,35.5
446,110.5,35.5
447,111.5,35.5
448,112.5,35.5
449,113.5,35.5
450,114.5,35.5
451,115.5,35.5
452,116.5,35.5
453,117.5,35.5
454,118.5,35.5
455,119.5,35.5
456,76.5,36.5
457,77.5,36.5
458,78.5,36.5
459,79.5,36.5
460,80.5,36.5
461,81.5,36.5
462,82.5,36.5
463,83.5,36.5
464,84.5,36.5
465,85.5,36.5
466,86.5,36.5
467,87.5,36.5
468,88.5,36.5
469,89.5,36.5
470,90.5,36.5
471,91.5,36.5
472,92.5,36.5
473,93.5,36.5
474,94.5,36.5
475,95.5,36.5
476,96.5,36.5
477,97.5,36.5
478,98.5,36.5
479,99.5,36.5
480,100.5,36.5
481,101.5,36.5
482,102.5,36.5
483,103.5,36.5
484,104.5,36.5
485,105.5,36.5
486,106.5,36.5
487,107.5,36.5
488,108.5,36.5
489,109.5,36.5
490,110.5,36.5
491,111.5,36.5
492,112.5,36.5
493,113.5,36.5
494,114.5,36.5
495,115.5,36.5
496,116.5,36.5
497,117.5,36.5
498,118.5,36.5
499,119.5,36.5
500,120.5,36.5
501,75.5,37.5
502,76.5,37.5
503,77.5,37.5
504,78.5,37.5
505,79.5,37.5
506,80.5,37.5
507,81.5,37.5
508,82.5,37.5
509,83.5,37.5
510,84.5,37.5
511,85.5,37.5
512,86.5,37.5
513,87.5,37.5
514,88.5,37.5
515,89.5,37.5
516,90.5,37.5
517,91.5,37.5
518,92.5,37.5
519,93.5,37.5
520,94.5,37.5
521,95.5,37.5
522,96.5,37.5
523,97.5,37.5
524,98.5,37.5
525,99.5,37.5
526,100.5,37.5
527,101.5,37.5
528,102.5,37.5
529,103.5,37.5
530,104.5,37.5
531,105.5,37.5
532,106.5,37.5
533,107.5,37.5
534,108.5,37.5
535,109.5,37.5
536,110.5,37.5
537,111.5,37.5
538,112.5,37.5
539,113.5,37.5
540,114.5,37.5
541,115.5,37.5
542,116.5,37.5
543,117.5,37.5
544,118.5,37.5
545,120.5,37.5
546,75.5,38.5
547,76.5,38.5
548,77.5,38.5
549,78.5,38.5
550,79.5,38.5
551,80.5,38.5
552,81.5,38.5
553,82.5,38.5
554,83.5,38.5
555,84.5,38.5
556,85.5,38.5
557,86.5,38.5
558,87.5,38.5
559,88.5,38.5
560,89.5,38.5
561,90.5,38.5
562,91.5,38.5
563,92.5,38.5
564,93.5,38.5
565,94.5,38.5
566,95.5,38.5
567,96.5,38.5
568,97.5,38.5
569,98.5,38.5
570,99.5,38.5
571,100.5,38.5
572,101.5,38.5
573,102.5,38.5
574,103.5,38.5
575,104.5,38.5
576,105.5,38.5
577,106.5,38.5
578,107.5,38.5
579,108.5,38.5
580,109.5,38.5
581,110.5,38.5
582,111.5,38.5
583,112.5,38.5
584,113.5,38.5
585,114.5,38.5
586,115.5,38.5
587,116.5,38.5
588,117.5,38.5
589,74.5,39.5
590,75.5,39.5
591,76.5,39.5
592,77.5,39.5
593,78.5,39.5
594,79.5,39.5
595,80.5,39.5
596,81.5,39.5
597,82.5,39.5
598,83.5,39.5
599,84.5,39.5
600,85.5,39.5
601,86.5,39.5
602,87.5,39.5
603,88.5,39.5
604,89.5,39.5
605,90.5,39.5
606,91.5,39.5
607,92.5,39.5
608,93.5,39.5
609,94.5,39.5
610,95.5,39.5
611,96.5,39.5
612,97.5,39.5
613,98.5,39.5
614,99.5,39.5
615,100.5,39.5
616,101.5,39.5
617,102.5,39.5
618,103.5,39.5
619,104.5,39.5
620,105.5,39.5
621,106.5,39.5
622,107.5,39.5
623,108.5,39.5
624,109.5,39.5
625,110.5,39.5
626,111.5,39.5
627,112.5,39.5
628,113.5,39.5
629,114.5,39.5
630,115.5,39.5
631,116.5,39.5
632,117.5,39.5
633,118.5,39.5
634,121.5,39.5
635,122.5,39.5
636,75.5,40.5
637,77.5,40.5
638,78.5,40.5
639,79.5,40.5
640,80.5,40.5
641,81.5,40.5
642,82.5,40.5
643,83.5,40.5
644,84.5,40.5
645,85.5,40.5
646,86.5,40.5
647,87.5,40.5
648,88.5,40.5
649,89.5,40.5
650,90.5,40.5
651,91.5,40.5
652,92.5,40.5
653,93.5,40.5
654,94.5,40.5
655,95.5,40.5
656,96.5,40.5
657,97.5,40.5
658,98.5,40.5
659,99.5,40.5
660,100.5,40.5
661,101.5,40.5
662,102.5,40.5
663,103.5,40.5
664,104.5,40.5
665,105.5,40.5
666,106.5,40.5
667,107.5,40.5
668,108.5,40.5
669,109.5,40.5
670,110.5,40.5
671,111.5,40.5
672,112.5,40.5
673,113.5,40.5
674,114.5,40.5
675,115.5,40.5
676,116.5,40.5
677,117.5,40.5
678,118.5,40.5
679,119.5,40.5
680,120.5,40.5
681,122.5,40.5
682,123.5,40.5
683,124.5,40.5
684,79.5,41.5
685,80.5,41.5
686,81.5,41.5
687,82.5,41.5
688,83.5,41.5
689,84.5,41.5
690,85.5,41.5
691,86.5,41.5
692,87.5,41.5
693,88.5,41.5
694,89.5,41.5
695,90.5,41.5
696,91.5,41.5
697,92.5,41.5
698,93.5,41.5
699,94.5,41.5
700,95.5,41.5
701,96.5,41.5
702,97.5,41.5
703,98.5,41.5
704,99.5,41.5
705,100.5,41.5
706,101.5,41.5
707,102.5,41.5
708,103.5,41.5
709,104.5,41.5
710,105.5,41.5
711,106.5,41.5
712,107.5,41.5
713,108.5,41.5
714,109.5,41.5
715,110.5,41.5
716,111.5,41.5
717,112.5,41.5
718,113.5,41.5
719,114.5,41.5
720,115.5,41.5
721,116.5,41.5
722,117.5,41.5
723,118.5,41.5
724,119.5,41.5
725,120.5,41.5
726,121.5,41.5
727,122.5,41.5
728,123.5,41.5
729,124.5,41.5
730,125.5,41.5
731,126.5,41.5
732,127.5,41.5
733,80.5,42.5
734,81.5,42.5
735,82.5,42.5
736,83.5,42.5
737,84.5,42.5
738,85.5,42.5
739,86.5,42.5
740,87.5,42.5
741,88.5,42.5
742,89.5,42.5
743,90.5,42.5
744,91.5,42.5
745,92.5,42.5
746,93.5,42.5
747,94.5,42.5
748,95.5,42.5
749,96.5,42.5
750,97.5,42.5
751,98.5,42.5
752,99.5,42.5
753,100.5,42.5
754,101.5,42.5
755,110.5,42.5
756,111.5,42.5
757,112.5,42.5
758,113.5,42.5
759,114.5,42.5
760,115.5,42.5
761,116.5,42.5
762,117.5,42.5
763,118.5,42.5
764,119.5,42.5
765,120.5,42.5
766,121.5,42.5
767,122.5,42.5
768,123.5,42.5
769,124.5,42.5
770,125.5,42.5
771,126.5,42.5
772,127.5,42.5
773,128.5,42.5
774,129.5,42.5
775,81.5,43.5
776,82.5,43.5
777,83.5,43.5
778,84.5,43.5
779,85.5,43.5
780,86.5,43.5
781,87.5,43.5
782,88.5,43.5
783,89.5,43.5
784,90.5,43.5
785,91.5,43.5
786,92.5,43.5
787,93.5,43.5
788,94.5,43.5
789,95.5,43.5
790,112.5,43.5
791,113.5,43.5
792,114.5,43.5
793,115.5,43.5
794,116.5,43.5
795,117.5,43.5
796,118.5,43.5
797,119.5,43.5
798,120.5,43.5
799,121.5,43.5
800,122.5,43.5
801,123.5,43.5
802,124.5,43.5
803,125.5,43.5
804,126.5,43.5
