31.5,87.5,5.56,6.04
31.5,88.5,5.46,6.09
31.5,89.5,5.42,6.13
31.5,90.5,5.38,6.22
31.5,91.5,5.28,6.34
31.5,92.5,5.11,6.46
31.5,93.5,4.84,6.61
31.5,94.5,4.84,6.76
31.5,95.5,4.64,6.93
31.5,96.5,4.84,7.10
31.5,97.5,4.91,7.27
31.5,98.5,4.87,6.74
31.5,99.5,4.71,6.22
31.5,100.5,4.78,5.86
31.5,101.5,4.62,5.66
31.5,102.5,4.42,5.46
31.5,103.5,3.92,5.29
31.5,104.5,3.20,5.12
31.5,105.5,3.21,4.66
31.5,106.5,3.24,3.91
31.5,107.5,3.24,3.16
31.5,108.5,3.36,3.11
31.5,109.5,3.39,3.06
31.5,110.5,3.41,2.94
31.5,111.5,3.50,2.76
31.5,112.5,3.62,2.57
31.5,113.5,3.70,2.96
31.5,114.5,3.70,3.35
31.5,115.5,3.69,3.56
31.5,116.5,3.67,3.58
31.5,117.5,3.70,3.61
31.5,118.5,3.75,3.86
31.5,119.5,3.77,4.11
31.5,120.5,3.78,4.68
31.5,121.5,3.81,5.58
32.5,78.5,5.10,7.10
32.5,79.5,5.39,6.87
32.5,80.5,5.65,6.68
32.5,81.5,5.89,6.52
