lon,lat,sol,win
113.57,37.87,4.41,3.39
113.58,37.93,4.41,3.39
113.12,36.2,4.33,3.15
113.62,37.8,4.41,3.39
113.4,38.08,4.45,3.59
113.12,36.2,4.33,3.15
113.28,40.08,4.55,4.52
113.6,37.85,4.41,3.39
113.12,36.22,4.33,3.15
112.83,35.5,4.18,2.87
113.58,37.93,4.41,3.39
113.12,36.2,4.33,3.15
113.03,36.05,4.33,3.15
113.05,36.53,4.33,3.15
112.88,36.32,4.36,3.13
113.43,36.2,4.33,3.15
113.38,36.5,4.33,3.15
113.2,36.12,4.33,3.15
112.87,36.12,4.36,3.13
112.85,36.83,4.36,3.13
112.7,36.75,4.36,3.13
112.33,36.5,4.36,3.13
113.22,36.33,4.33,3.15
112.83,35.5,4.18,2.87
113.28,40.08,4.55,4.52
113.6,37.85,4.41,3.39
113.12,36.22,4.33,3.15
112.83,35.5,4.18,2.87
112.18,35.68,4.18,2.87
112.42,35.48,4.18,2.87
113.27,35.78,4.15,2.95
112.83,35.5,4.18,2.87
112.92,35.8,4.18,2.87
112.43,39.33,4.53,3.73
112.43,39.33,4.53,3.73
112.82,39.52,4.53,3.73
113.18,39.55,4.49,3.74
112.47,39.98,4.53,3.73
113.08,39.83,4.49,3.74
112.75,37.68,4.46,3.41
112.75,37.68,4.46,3.41
112.97,37.07,4.46,3.41
113.37,37.07,4.41,3.39
113.57,37.33,4.41,3.39
113.7,37.62,4.41,3.39
113.18,37.88,4.41,3.39
112.55,37.42,4.46,3.41
112.33,37.35,4.46,3.41
112.17,37.18,4.46,3.41
111.77,36.85,4.32,4.1
111.92,37.03,4.46,4.3
110.98,35.02,4.11,4.35
110.98,35.02,4.11,4.35
110.77,35.15,4.11,4.35
110.83,35.42,4.11,4.35
111.22,35.35,4.14,3.61
110.97,35.6,4.11,4.35
111.22,35.62,4.14,3.61
111.57,35.48,4.14,3.61
111.67,35.3,4.14,3.61
111.22,35.15,4.14,3.61
111.22,34.83,3.98,2.83
110.68,34.7,3.98,3.04
110.7,35.6,4.11,4.35
112.73,38.42,4.45,3.61
112.73,38.42,4.45,3.61
112.95,38.48,4.45,3.61
113.25,38.73,4.45,3.59
112.95,39.07,4.53,3.73
113.25,39.18,4.49,3.74
112.3,39,4.53,3.73
111.93,38.37,4.54,4.24
112.2,39.08,4.53,3.73
111.85,38.9,4.54,4.24
111.57,38.7,4.54,4.24
111.13,39.38,4.58,3.93
111.5,39.43,4.58,3.93
112.7,38.73,4.45,3.61
111.52,36.08,4.32,4.1
111.52,36.08,4.32,4.1
111.47,35.63,4.14,3.61
111.72,35.73,4.14,3.61
111.43,35.88,4.14,3.61
111.67,36.25,4.32,4.1
111.92,36.27,4.32,4.1
112.25,36.15,4.36,3.13
111.83,35.97,4.14,3.61
110.68,36.1,4.35,5.07
110.83,35.97,4.11,4.35
110.75,36.47,4.35,5.07
110.93,36.7,4.35,5.07
110.63,36.77,4.35,5.07
111.08,36.42,4.32,4.1
